Gene Name,ZT1,ZT4,ZT7,ZT10,ZT13,ZT16,ZT19,ZT22
Syne1,7.809,9.94,4.491,1.569,2.083,3.732,6.324,6.361
Tsc22d4,7.308,7.826,6.547,5.755,6.05,5.151,6.274,5.82
Tmsb10,9.243623571,13.764292,5.26824978,3.324538259,3.315743184,4.854881266,5.514511873,4.89885664
Grtp1,16.919,21.053,18.385,18.877,14.022,11.221,13.877,12.952
Abcg8,25.579,46.88,46.172,22.786,15.637,6.833,19.549,31.871
Slc25a22,133.3561867,201.1540973,172.8991185,121.9996735,90.14691479,65.76232452,128.2174339,155.9190336
Tmem256,141.8471954,152.5145068,78.38491296,74.06189555,68.76208897,92.51450677,105.3288201,96.24758221
Rnf167,28.23658269,37.71631982,24.70427163,26.90032859,23.00657174,20.29025192,26.24863089,23.88280394
Amdhd1,61.621,61.829,46.052,16.261,29.192,43.676,60.754,53.234
Tsc22d4,7.308,7.826,6.547,5.755,6.05,5.151,6.274,5.82
Klhdc8b,7.859,8.57,7.106,8.414,6.158,5.913,5.471,6
Nr5a2,19.322,20.075,18.085,13.95,15.135,11.773,18.52,16.936
Acaa1a,29.31162525,43.48043416,34.29591545,39.07883462,26.84518709,21.73093402,18.81605256,19.78577549
Eps8l2,30.735,33.614,19.363,10.623,13.232,16.109,29.561,28.035
Mylip,11.814,15.105,14.472,14.285,12.172,9.25,11.142,9.886
Mark4,8.009,8.179,5.829,7.527,5.727,5.44,6.675,7.525
Hps6,10.07183908,11.25,8.606321839,7.931034483,7.227011494,7.16954023,10.81896552,8.002873563
Zc3h6,7.559,7.709,6.907,6.67,4.129,4.126,6.073,6.722
Cep120,5.456,7.083,6.907,5.711,5.368,4.52,5.521,5.869
Nostrin,6.958,8.061,7.466,4.432,5.907,5.361,6.123,6.623
Wdtc1,20.874,21.679,17.347,12.832,14.506,12.824,16.211,16.903
Trim56,28.61054073,31.07118412,20.08555784,19.29500342,17.63518138,20.23613963,23.78850103,22.27583847
Rab10os,9.661,12.053,9.602,9.417,7.971,7.621,9.36,10.509
Srrm4os,10.412,15.809,9.482,7.15,6.912,8.304,9.586,13.87
Gm7854,27.882,30.601,19.563,11.102,13.088,15.505,25.797,23.723
A630066F11Rik,137.0311253,162.0909816,122.1947326,118.8747007,97.28651237,95.63447725,134.5810056,119.7206704
E130307A14Rik,5.056,5.478,5.31,3.996,4.865,3.521,3.438,4.492
Mkln1os,5.406,5.674,5.609,5.362,3.698,3.521,3.513,3.574
Gm11944,6.332407693,7.123315849,6.036202818,5.858274195,4.45027255,4.406047516,4.517124344,4.553121465
Gm10814,14.59895833,16.1015625,7.901041667,5.828125,7.013020833,4.994791667,9.8671875,7.385416667
Shf,6.307,7.748,6.388,6.132,3.716,4.257,6.073,5.23
Gm1123,6.758,7.592,7.506,7.397,5.961,3.994,4.919,6.296
Slc25a18,15.618,16.592,18.545,10.012,7.002,4.573,7.629,7.427
Txk,9.311,9.353,11.678,7.876,5.727,4.757,5.195,7.083
Nsmce2,5.306,5.635,5.39,4.781,3.555,3.863,4.392,4.476
Slc8b1,24.728,39.602,30.103,16.784,19.443,11.169,18.394,16.198
Egr1,48.34285714,29.51428571,67.41142857,12.62285714,6.257142857,3.754285714,4.731428571,9.651428571
Elf1,21.525,25.945,23.435,21.405,15.386,16.924,17.139,19.526
